Sample Number	Sample	Substrate category	Food type	sample state	Source sample ID	Metabolomics	Metagenomics	NFkB_bioassay runs	RNAseq runs	ingredients	producer	producer_country	main ingredient	dominant_fermentation_chemistry	Sample notes	all_ingredients	main_ingredient_organic_status	producer	dominant_fermentation_chemistry	foodon_high	foodon_mid	foodon_specific	foodon_parent_label	foodon_grandparent_label	foodon_lineage	foodon_specific_canonical_id
FF0036	Traditional Red Miso	Legume - Soy	Miso	ready to eat	FF0036	yes	yes	2	2	organic soybeans, rice, salt, koji culture	Miso Master Organic	US	soybean	mixed koji/lactic acid		organic soybeans, rice, salt, koji culture	organic	Miso Master Organic	mixed koji/lactic acid	plant-based food product	fermented legume product	miso	miso food product	fermented soybean food product	miso > miso food product > fermented soybean food product > plant food product	FOODON:00003208
FF0062	Hornbacher Cheese	Dairy	Cheese	ready to eat	FF0062	no	yes	1	0	cow milk, salt, rennet, cheese cultures	unknown	Switzerland	milk	lactic acid		cow milk, salt, rennet, cheese cultures	not_organic	unknown	lactic acid	animal-based food product	cheese	cheese	cheese food product	dairy food product	cheese > cheese food product > dairy food product > animal food product	FOODON:03000287
FF0086	Fermented Seaweed Salad	Vegetable - other	Pickled vegetable	ready to eat	FF0086	no	yes	2	2	Blanched Kelp, Vegan Kimchi Juice (Napa Cabbage, Daikon Radish, Miso [Filtered Water, Rice, Soybeans, Sea Salt, Alcohol], Garlic, Salt, Red Pepper Powder, Sugar, Scallions, Onion, Ginger), Sugar, Ginger, Salt, Scallions, Sesame Oil, Sesame Seeds, Onion, Tamari (Water, Soybeans, Salt, Sugar)	Atlantic Sea Farms	US	kelp	lactic acid		Blanched Kelp, Vegan Kimchi Juice (Napa Cabbage, Daikon Radish, Miso [Filtered Water, Rice, Soybeans, Sea Salt, Alcohol], Garlic, Salt, Red Pepper Powder, Sugar, Scallions, Onion, Ginger), Sugar, Ginger, Salt, Scallions, Sesame Oil, Sesame Seeds, Onion, Tamari (Water, Soybeans, Salt, Sugar)	not_organic	Atlantic Sea Farms	lactic acid	marine plant-based food product	fermented vegetable product	lactic acid fermented vegetable	food (fermented)	food material by process	lactic acid fermented vegetable > food (fermented) > food material by process > plant food product	unknown
FF0091	Meechun Salted Black Bean	Legume - Soy	Douchi	ready to eat	FF0091	yes	yes	1	0	black soybeans, salt	Mee Chun	China	soybean	mixed koji/unknown		black soybeans, salt	not_organic	Mee Chun	mixed koji/unknown	plant-based food product	fermented legume product	douchi	fermented bean product	bean food product	douchi > fermented bean product > bean food product > plant food product	unknown
FF0092	New York Natto Organic	Legume - Soy	Natto	ready to eat	FF0092	yes	yes	1	0	organic soybeans, Bacillus subtilis culture	New York Natto	US	soybean	alkaline		organic soybeans, Bacillus subtilis culture	organic	New York Natto	alkaline	plant-based food product	fermented legume product	natto	fermented soybean food product	fermented bean product	nattō > fermented soybean food product > fermented bean product > plant food product	FOODON:00002870
FF0100	Cultured Raw Vintage Kraut	Vegetable - Cabbage	Sauerkraut	ready to eat	FF0152	no	yes	0	0	organic green cabbage, caraway seed, juniper berries, organic green apples, sea salt	Cultured Pickle	US	cabbage	lactic acid		organic green cabbage, caraway seed, juniper berries, organic green apples, sea salt	organic	Cultured Pickle	lactic acid	plant-based food product	fermented vegetable product	sauerkraut	pickled cabbage food product	cabbage food product	sauerkraut > pickled cabbage food product > cabbage food product > plant food product	FOODON:03301397
FF0120	Straus Organic Milk	Dairy	Unfermented	raw	FF0120	no	no	1	1	organic milk	Straus Family Creamery	US	milk	NA		Organic whole milk	organic	Straus Family Creamery	NA							
FF0121	Straus Organic Kefir, Plain	Dairy	Kefir	ready to eat	FF0121	yes	yes	3	3	Pasteurized Organic Lowfat Milk, Organic Sweet Cream Buttermilk, Live and Active Cultures: S. Thermophilus, Lb. Delbrueckii Bulgaricus, Lb. Casei, Lb. Acidophilus, Bifidobacterium, Lb. Rhamnosus, L. Cremoris, L. Lactis, L. Diacetylactis, Leuconostoc, Lb. Lactis.	Straus Family Creamery	US	milk	lactic acid		Pasteurized Organic Lowfat Milk, Organic Sweet Cream Buttermilk, Live and Active Cultures: S. Thermophilus, Lb. Delbrueckii Bulgaricus, Lb. Casei, Lb. Acidophilus, Bifidobacterium, Lb. Rhamnosus, L. Cremoris, L. Lactis, L. Diacetylactis, Leuconostoc, Lb. Lactis.	organic	Straus Family Creamery	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0122	Alexandre Farms Prebiotic Kefir	Dairy	Kefir	ready to eat	FF0122	yes	yes	1	0	Organic 100% Grass-fed Lowfat Milk, Live and Active Cultures: Bifidobacterium: Lactis (4), Infantis. Lactobacillus: Delbrueckii (2), Acidophilus (3), Casei (2), Plantarum, Paracasei, Rhamnosus (3), Brevis. Lactococcus: Lactis (4). Streptococcus: Thermophillus. Leuconostoc: 	Alexandre Family Farms	US	milk	lactic acid		Organic 100% Grass-fed Lowfat Milk, Live and Active Cultures: Bifidobacterium: Lactis (4), Infantis. Lactobacillus: Delbrueckii (2), Acidophilus (3), Casei (2), Plantarum, Paracasei, Rhamnosus (3), Brevis. Lactococcus: Lactis (4). Streptococcus: Thermophillus. Leuconostoc: 	organic	Alexandre Family Farms	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
FF0123	Kefirlab Probiotic Kefir	Dairy	Kefir	ready to eat	FF0123	yes	yes	3	2	Organic Whole Milk, Live & Active Probiotic Cultures: BIFIDOBACTERIUM: BIFIDUM, INFANTIS, LACTIS (2). LACTOBACILLUS: CASEI (5), ACIDOPHILUS (2), FERMENTUM, PLANTARUM, PARACASEI, RHAMNOSUS (3), DELBRUECKII (2). LEUCONOSTOC: MESENTEROIDES. STREPTOCOCCUS: THERMOPHILUS.	KefirLab	US	milk	lactic acid		Organic Whole Milk, Live & Active Probiotic Cultures: BIFIDOBACTERIUM: BIFIDUM, INFANTIS, LACTIS (2). LACTOBACILLUS: CASEI (5), ACIDOPHILUS (2), FERMENTUM, PLANTARUM, PARACASEI, RHAMNOSUS (3), DELBRUECKII (2). LEUCONOSTOC: MESENTEROIDES. STREPTOCOCCUS: THERMOPHILUS.	organic	KefirLab	lactic acid	animal-based food product	fermented milk product	kefir	kefir food product	cultured dairy product	kefir > kefir food product > cultured dairy product > animal food product	FOODON:03310290
