fastq_1,fastq_2,sample_number,sample_description,sample_name,fermented_food
7857_036_S186_R1.fastq.gz,7857_036_S186_R2.fastq.gz,36,Traditional Red Miso,FF0036_traditional_red_miso,miso
7857_062_S187_R1.fastq.gz,7857_062_S187_R2.fastq.gz,62,Hornbacher cheese,FF0062_hornbacher_cheese,cheese
7857_086_S188_R1.fastq.gz,7857_086_S188_R2.fastq.gz,86,Fermented seaweed salad,FF0086_fermented_seaweed_salad,sauerkraut
7857_091_S189_R1.fastq.gz,7857_091_S189_R2.fastq.gz,91,MeeChun Salted black bean,FF0091_meechun_salted_black_bean,beans
7857_092_S190_R1.fastq.gz,7857_092_S190_R2.fastq.gz,92,New York Natto Organic,FF0092_new_york_natto_organic,natto
7857_122_S191_R1.fastq.gz,7857_122_S191_R2.fastq.gz,122,alexandre farms prebiotic kefir,FF0122_alexandre_farms_prebiotic_kefir,kefir
7857_123_S192_R1.fastq.gz,7857_123_S192_R2.fastq.gz,123,kefirlab probiotic kefir,FF0123_kefirlab_probiotic_kefir,kefir
7857_124_S193_R1.fastq.gz,7857_124_S193_R2.fastq.gz,124,white mountain bulgarian yogurt,FF0124_white_mountain_bulgarian_yogurt,yogurt
7857_126_S194_R1.fastq.gz,7857_126_S194_R2.fastq.gz,126,nancy's probiotic whole milk yogurt,FF0126_nancy's_probiotic_whole_milk_yogurt,yogurt
7857_127_S195_R1.fastq.gz,7857_127_S195_R2.fastq.gz,127,bellwether farms a2 organic whole milk yogurt,FF0127_bellwether_farms_a2_organic_whole_milk_yogurt,yogurt
7857_128_S196_R1.fastq.gz,7857_128_S196_R2.fastq.gz,128,alexandre family famr a2/a2 organic plain yogurt,FF0128_alexandre_family_famr_a2/a2_organic_plain_yogurt,yogurt
7857_129_S197_R1.fastq.gz,7857_129_S197_R2.fastq.gz,129,la fermiere creamy whole milk yogurt,FF0129_la_fermiere_creamy_whole_milk_yogurt,yogurt
7857_130_S198_R1.fastq.gz,7857_130_S198_R2.fastq.gz,130,good culture cottage cheese,FF0130_good_culture_cottage_cheese,cheese
7857_131_S199_R1.fastq.gz,7857_131_S199_R2.fastq.gz,131,vermont creamery creme fraiche,FF0131_vermont_creamery_creme_fraiche,cheese
7857_132_S200_R1.fastq.gz,7857_132_S200_R2.fastq.gz,132,good culture cream cheese spread,FF0132_good_culture_cream_cheese_spread,cheese
7857_133_S201_R1.fastq.gz,7857_133_S201_R2.fastq.gz,133,le chatelain camembert,FF0133_le_chatelain_camembert,cheese
7857_134_S202_R1.fastq.gz,7857_134_S202_R2.fastq.gz,134,jasper hill farm willoughby,FF0134_jasper_hill_farm_willoughby,cheese
7857_136_S203_R1.fastq.gz,7857_136_S203_R2.fastq.gz,136,rivoir-jacques vache comte,FF0136_rivoir-jacques_vache_comte,cheese
7857_138_S204_R1.fastq.gz,7857_138_S204_R2.fastq.gz,138,beemster aged gouda,FF0138_beemster_aged_gouda,cheese
7857_140_S205_R1.fastq.gz,7857_140_S205_R2.fastq.gz,140,Cultured Beets with fennel,FF0140_cultured_beets_with_fennel,sauerkraut
7857_141_S206_R1.fastq.gz,7857_141_S206_R2.fastq.gz,141,local culture beet + fennel,FF0141_local_culture_beet_+_fennel,sauerkraut
7857_142_S207_R1.fastq.gz,7857_142_S207_R2.fastq.gz,142,Sinto Gourmet kraut-chi crunchy beet,FF0142_sinto_gourmet_kraut-chi_crunchy_beet,beets
7857_143_S208_R1.fastq.gz,7857_143_S208_R2.fastq.gz,143,wild west ferments moroccan beets,FF0143_wild_west_ferments_moroccan_beets,beets
7857_144_S209_R1.fastq.gz,7857_144_S209_R2.fastq.gz,144,wildbrine red beet & cabbage,FF0144_wildbrine_red_beet_&_cabbage,sauerkraut
7857_147_S210_R1.fastq.gz,7857_147_S210_R2.fastq.gz,147,"wild west ferments limited edition saerkraut, green garlic","FF0147_wild_west_ferments_limited_edition_saerkraut,_green_garlic",sauerkraut
7857_148_S211_R1.fastq.gz,7857_148_S211_R2.fastq.gz,148,wild west erments el curtido,FF0148_wild_west_erments_el_curtido,sauerkraut
7857_150_S212_R1.fastq.gz,7857_150_S212_R2.fastq.gz,150,sonoma brinery raw sauerkraut,FF0150_sonoma_brinery_raw_sauerkraut,sauerkraut
7857_151_S213_R1.fastq.gz,7857_151_S213_R2.fastq.gz,151,farmhouse culture kraut,FF0151_farmhouse_culture_kraut,sauerkraut
7857_159_S214_R1.fastq.gz,7857_159_S214_R2.fastq.gz,159,"mother in law's kimchi, vegan","FF0159_mother_in_law's_kimchi,_vegan",kimchi
7857_161_S215_R1.fastq.gz,7857_161_S215_R2.fastq.gz,161,queens beachu kimchi,FF0161_queens_beachu_kimchi,kimchi
7857_163_S216_R1.fastq.gz,7857_163_S216_R2.fastq.gz,163,cultured sweet white miso,FF0163_cultured_sweet_white_miso,miso
7857_164_S217_R1.fastq.gz,7857_164_S217_R2.fastq.gz,164,aedan japanese fermented country miso,FF0164_aedan_japanese_fermented_country_miso,miso
7857_165_S218_R1.fastq.gz,7857_165_S218_R2.fastq.gz,165,yabajurushi tsubu jikomi miso,FF0165_yabajurushi_tsubu_jikomi_miso,miso
7857_172_S219_R1.fastq.gz,7857_172_S219_R2.fastq.gz,172,rejuvelac,FF0172_rejuvelac,beverage
7857_173_S220_R1.fastq.gz,7857_173_S220_R2.fastq.gz,173,GT's kombucha,FF0173_gt's_kombucha,kombucha
7857_174_S221_R1.fastq.gz,7857_174_S221_R2.fastq.gz,174,Wildbrine probiotic sriracha,FF0174_wildbrine_probiotic_sriracha,sriacha
7857_175_S222_R1.fastq.gz,7857_175_S222_R2.fastq.gz,175,Huy fong sriracha chili sauce,FF0175_huy_fong_sriracha_chili_sauce,chili sauce
7857_176_S223_R1.fastq.gz,7857_176_S223_R2.fastq.gz,176,Mani pitted castelvetrano olives,FF0176_mani_pitted_castelvetrano_olives,olives
7857_177_S224_R1.fastq.gz,7857_177_S224_R2.fastq.gz,177,Berkeley Bowl kalamata olives pitted,FF0177_berkeley_bowl_kalamata_olives_pitted,olives
7857_178_S225_R1.fastq.gz,7857_178_S225_R2.fastq.gz,178,Golden State Pickle Works cabbage w/ caraway,FF0178_golden_state_pickle_works_cabbage_w/_caraway,sauerkraut
