autogenerated integer,autogenerated integer,autopopulated from order,text field,"""yes"" or leave blank","""yes"" or leave blank",optional text field,optional text field,optional text field,mandatory if DNA isolation selected,0.0 ng/ul,text field,text field,"for variant calling and starts with ""GCF_"" or ""GCA_""",url (preferred) or exact file name,optional text field,Bioinformatics Service,
Order ID,SeqCoast Tube ID,Service Selection,Requester Name,DNA Extraction,Variant Calling,Project Name,Sample Name,Species Name,"Sample Type (please enter ""frozen cell pellet"" OR ""sealed pre-grown agar plate"")",DNA concentration in ng/ul (Qubit recommended),DNA quantification method (Qubit Nanodrop etc.),DNA elution buffer (water TE etc.),Genome accession number,If Variant Calling selected please provide a link or reference genome file name here (upload files during checkout),Sample Notes,Bioinformatics Service,
7857,36,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,36,Traditional Red Miso,food sample in Zymo DNA/RNA later,,,,,,,,
7857,62,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,62,Hornbacher cheese,food sample in Zymo DNA/RNA later,,,,,,,,
7857,86,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,86,Fermented seaweed salad,food sample in Zymo DNA/RNA later,,,,,,,,
7857,91,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,91,MeeChun Salted black bean,food sample in Zymo DNA/RNA later,,,,,,,,
7857,92,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,92,New York Natto Organic,food sample in Zymo DNA/RNA later,,,,,,,,
7857,122,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,122,alexandre farms prebiotic kefir,food sample in Zymo DNA/RNA later,,,,,,,,
7857,123,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,123,kefirlab probiotic kefir,food sample in Zymo DNA/RNA later,,,,,,,,
7857,124,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,124,white mountain bulgarian yogurt,food sample in Zymo DNA/RNA later,,,,,,,,
7857,126,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,126,nancy's probiotic whole milk yogurt,food sample in Zymo DNA/RNA later,,,,,,,,
7857,127,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,127,bellwether farms a2 organic whole milk yogurt,food sample in Zymo DNA/RNA later,,,,,,,,
7857,128,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,128,alexandre family famr a2/a2 organic plain yogurt,food sample in Zymo DNA/RNA later,,,,,,,,
7857,129,Short reads; XL 2000Mbp/13.3 Million reads,Rachel Dutton,yes,,,129,la fermiere creamy whole milk yogurt,food sample in Zymo DNA/RNA later,,,,,,,,
