fastq_1,fastq_2,sample_name,fermented_food,food_category
7857_036_S186_R1.fastq.gz,7857_036_S186_R2.fastq.gz,FF0036_traditional_red_miso,miso,soy
7857_062_S187_R1.fastq.gz,7857_062_S187_R2.fastq.gz,FF0062_hornbacher_cheese,cheese,dairy
7857_086_S188_R1.fastq.gz,7857_086_S188_R2.fastq.gz,FF0086_fermented_seaweed_salad,sauerkraut,vegetable
7857_091_S189_R1.fastq.gz,7857_091_S189_R2.fastq.gz,FF0091_meechun_salted_black_bean,beans,soy
7857_092_S190_R1.fastq.gz,7857_092_S190_R2.fastq.gz,FF0092_new_york_natto_organic,natto,soy
7741_001_S26_R1.fastq.gz,7741_001_S26_R2.fastq.gz,FF0100_Cultured Pickle Raw Vintage Kraut,sauerkraut,vegetable
7741_002_S27_R1.fastq.gz,7741_002_S27_R2.fastq.gz,FF0121_straus organic kefir,kefir,dairy
7857_122_S191_R1.fastq.gz,7857_122_S191_R2.fastq.gz,FF0122_alexandre_farms_prebiotic_kefir,kefir,dairy
7857_123_S192_R1.fastq.gz,7857_123_S192_R2.fastq.gz,FF0123_kefirlab_probiotic_kefir,kefir,dairy
7857_124_S193_R1.fastq.gz,7857_124_S193_R2.fastq.gz,FF0124_white_mountain_bulgarian_yogurt,yogurt,dairy
7741_003_S28_R1.fastq.gz,7741_003_S28_R2.fastq.gz,FF0125_straus organic yogurt,yogurt,dairy
7857_126_S194_R1.fastq.gz,7857_126_S194_R2.fastq.gz,FF0126_nancy's_probiotic_whole_milk_yogurt,yogurt,dairy
7857_127_S195_R1.fastq.gz,7857_127_S195_R2.fastq.gz,FF0127_bellwether_farms_a2_organic_whole_milk_yogurt,yogurt,dairy
7857_128_S196_R1.fastq.gz,7857_128_S196_R2.fastq.gz,FF0128_alexandre_family_famr_a2/a2_organic_plain_yogurt,yogurt,dairy
7857_129_S197_R1.fastq.gz,7857_129_S197_R2.fastq.gz,FF0129_la_fermiere_creamy_whole_milk_yogurt,yogurt,dairy
7857_130_S198_R1.fastq.gz,7857_130_S198_R2.fastq.gz,FF0130_good_culture_cottage_cheese,cheese,dairy
7857_131_S199_R1.fastq.gz,7857_131_S199_R2.fastq.gz,FF0131_vermont_creamery_creme_fraiche,cheese,dairy
7857_132_S200_R1.fastq.gz,7857_132_S200_R2.fastq.gz,FF0132_good_culture_cream_cheese_spread,cheese,dairy
7857_133_S201_R1.fastq.gz,7857_133_S201_R2.fastq.gz,FF0133_le_chatelain_camembert,cheese,dairy
7857_134_S202_R1.fastq.gz,7857_134_S202_R2.fastq.gz,FF0134_jasper_hill_farm_willoughby,cheese,dairy
7857_136_S203_R1.fastq.gz,7857_136_S203_R2.fastq.gz,FF0136_rivoir-jacques_vache_comte,cheese,dairy
7741_004_S29_R1.fastq.gz,7741_004_S29_R2.fastq.gz,FF0137_le gryuere switzerland,cheese,dairy
7857_138_S204_R1.fastq.gz,7857_138_S204_R2.fastq.gz,FF0138_beemster_aged_gouda,cheese,dairy
7741_005_S30_R1.fastq.gz,7741_005_S30_R2.fastq.gz,FF0139_taleggio,cheese,dairy
7857_140_S205_R1.fastq.gz,7857_140_S205_R2.fastq.gz,FF0140_cultured_beets_with_fennel,sauerkraut,vegetable
