autopopulated from order,text field,"""yes"" or leave blank","""yes"" or leave blank",autogenerated integer,autogenerated integer,optional text field,optional text field,optional text field,mandatory if DNA Extraction selected,0.0 ng/ul,text field,text field,"for variant calling and starts with ""GCF_"" or ""GCA_""",url (preferred) or exact file name,optional text field
Service Selection,Requester Name,DNA Extraction,Variant Calling,SeqCoast Tube ID,Order ID,Project Name,Sample Name,Species Name,"Sample Type (please enter ""frozen cell pellet"" OR ""sealed pre-grown agar plate"")",DNA concentration in ng/ul (Qubit recommended),DNA quantification method (Qubit Nanodrop etc.),DNA elution buffer (water TE etc.),Genome accession number,If Variant Calling selected please provide a link or reference genome file name here (upload files during checkout),Sample Notes
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,1,,MMA,FF0100_Cultured Pickle Raw Vintage Kraut,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,2,,MMA,FF0121_straus organic kefir,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,3,,MMA,FF0125_straus organic yogurt,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,4,,MMA,FF0137_le gryuere switzerland,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,5,,MMA,FF0139_taleggio,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,6,,MMA,FF0145_wild west ferments simply sauerkraut,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,7,,MMA,FF0146_wild west ferments signature sauerkraut,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,8,,MMA,FF0149_wildbrine raw organic kraut,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,9,,MMA,FF0153_britt's pickles,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,10,,MMA,"FF0154_sonoma brinery fresh pickles, manhatton style",,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,11,,MMA,FF0155_bubbie's baby kosher dill pickles,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,12,,MMA,FF0156_cultured classic dills,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,13,,MMA,FF0157_sinto gourmet kimchi (mild white),,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,14,,MMA,FF0158_jongga mat kimchi,,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,15,,MMA,"FF0160_mother in law's kimchi, house",,,,,,,,mixed with RNA/DNA shield
short reads; xl 2000mbp/13.3 million reads,Rachel Dutton,yes,,16,,MMA,FF0162_cultured napa cabbage kimchi,,,,,,,,mixed with RNA/DNA shield
