Sample 	Run #	ID	LPS added	Pre-treatment	Main ingredient	Food type
FF0187	53JTN4	53JTN4_1	yes	Equal Exchange 92% cacao total eclipse chocolate	cacao	chocolate
FF0188	53JTN4	53JTN4_2	yes	Taza 95% dark chocolate wicked dark chocolate	cacao	chocolate
FF0190	53JTN4	53JTN4_3	yes	Alter Eco total blackout 100% cacao chocolate	cacao	chocolate
FF0191	53JTN4	53JTN4_4	yes	The Tao of Tea organic Topaz puer	tea	tea
FF0192	53JTN4	53JTN4_5	yes	Braggs apple cider vinegar	apple	vinegar
FF0198	53JTN4	53JTN4_6	yes	Cafe Colucci injera batter	teff	injera
FF0199	53JTN4	53JTN4_7	yes	Cafe Colucci injera cooked	teff	injera
FF0200	53JTN4	53JTN4_8	yes	Wise Goat honey fermented garlic	garlic	pickled vegetable
FF0201	53JTN4	53JTN4_9	yes	Cultured Pickle Indian pickled limes	lime	pickled fruit
FF0202	53JTN4	53JTN4_10	yes	Cultured Pickle Chile paste	chile	fermented chili paste
FF0203	53JTN4	53JTN4_11	yes	Cultured Pickle umeboshi	plum	pickled fruit
FF0204	53JTN4	53JTN4_12	yes	Wild West Ferments spicy Italian pickle	cucumber	dill pickle
FF0205	53JTN4	53JTN4_13	yes	Wild West Ferments preserved lemon	lemon	pickled fruit
FF0206	53JTN4	53JTN4_14	yes	Wild West Ferments Chili paste	chile	fermented chili paste
FF0209	53JTN4	53JTN4_15	yes	Taro brand sour poi	taro	poi
FF0210	53JTN4	53JTN4_16	yes	Cultured spicy okra	okra	pickled vegetable
FF0211	53JTN4	53JTN4_17	yes	Kopabana cassava fufu	cassava	fufu
FF0212	53JTN4	53JTN4_18	yes	Kopabana cassava couscous / attieke	cassava	attieke
FF0213	53JTN4	53JTN4_19	yes	Wala ga kenkey	corn	kenkey
FF0216	53JTN4	53JTN4_20	yes	Barrio fiesta bagoong hipon	shrimp	fermented shrimp paste
PDTC	53JTN4	53JTN4_21	yes	NFKB inhibitor PDTC	NA	NA
LPS+	53JTN4	53JTN4_22	yes	LPS only	NA	NA
LPS-	53JTN4	53JTN4_23	no	no treatment	NA	NA
FF0187	53JTN4	53JTN4_24	yes	Equal Exchange 92% cacao total eclipse chocolate	cacao	chocolate
FF0188	53JTN4	53JTN4_25	yes	Taza 95% dark chocolate wicked dark chocolate	cacao	chocolate
FF0190	53JTN4	53JTN4_26	yes	Alter Eco total blackout 100% cacao chocolate	cacao	chocolate
FF0191	53JTN4	53JTN4_27	yes	The Tao of Tea organic Topaz puer	tea	tea
FF0192	53JTN4	53JTN4_28	yes	Braggs apple cider vinegar	apple	vinegar
FF0198	53JTN4	53JTN4_29	yes	Cafe Colucci injera batter	teff	injera
FF0199	53JTN4	53JTN4_30	yes	Cafe Colucci injera cooked	teff	injera
FF0200	53JTN4	53JTN4_31	yes	Wise Goat honey fermented garlic	garlic	pickled vegetable
FF0201	53JTN4	53JTN4_32	yes	Cultured Pickle Indian pickled limes	lime	pickled fruit
FF0202	53JTN4	53JTN4_33	yes	Cultured Pickle Chile paste	chile	fermented chili paste
FF0203	53JTN4	53JTN4_34	yes	Cultured Pickle umeboshi	plum	pickled fruit
FF0204	53JTN4	53JTN4_35	yes	Wild West Ferments spicy Italian pickle	cucumber	dill pickle
FF0205	53JTN4	53JTN4_36	yes	Wild West Ferments preserved lemon	lemon	pickled fruit
FF0206	53JTN4	53JTN4_37	yes	Wild West Ferments Chili paste	chile	fermented chili paste
FF0209	53JTN4	53JTN4_38	yes	Taro brand sour poi	taro	poi
FF0210	53JTN4	53JTN4_39	yes	Cultured spicy okra	okra	pickled vegetable
FF0211	53JTN4	53JTN4_40	yes	Kopabana cassava fufu	cassava	fufu
FF0212	53JTN4	53JTN4_41	yes	Kopabana cassava couscous / attieke	cassava	attieke
FF0213	53JTN4	53JTN4_42	yes	Wala ga kenkey	corn	kenkey
FF0216	53JTN4	53JTN4_43	yes	Barrio fiesta bagoong hipon	shrimp	fermented shrimp paste
PDTC	53JTN4	53JTN4_44	yes	NFKB inhibitor PDTC	NA	NA
LPS+	53JTN4	53JTN4_45	yes	LPS only	NA	NA
LPS-	53JTN4	53JTN4_46	no	no treatment	NA	NA
FF0036	Z6YWP9	Z6YWP9_1	yes	Traditional Red Miso	soybean	Miso
FF0086	Z6YWP9	Z6YWP9_2	yes	Fermented seaweed salad	kelp	pickled vegetable
FF0140	Z6YWP9	Z6YWP9_3	yes	Cultured Beets with fennel	beet	pickled vegetable
FF0141	Z6YWP9	Z6YWP9_4	yes	local culture beet + fennel	cabbage	pickled vegetable
FF0142	Z6YWP9	Z6YWP9_5	yes	Sinto Gourmet kraut-chi crunchy beet	cabbage	sauerkraut
FF0143	Z6YWP9	Z6YWP9_6	yes	wild west ferments moroccan beets	beet	pickled vegetable
FF0144	Z6YWP9	Z6YWP9_7	yes	wildbrine red beet & cabbage	cabbage	sauerkraut
FF0145	Z6YWP9	Z6YWP9_8	yes	wild west ferments simply sauerkraut	cabbage	sauerkraut
FF0172	Z6YWP9	Z6YWP9_9	yes	rejuvelac	rye berries	rejuvelac
FF0173	Z6YWP9	Z6YWP9_10	yes	GT's kombucha	sugar	kombucha
FF0174	Z6YWP9	Z6YWP9_11	yes	Wildbrine probiotic sriracha	cabbage	fermented chili paste
FF0175	Z6YWP9	Z6YWP9_12	yes	Huy fong sriracha chili sauce	chile	fermented chili paste
FF0176	Z6YWP9	Z6YWP9_13	yes	Mani pitted castelvetrano olives	olive	olives
FF0177	Z6YWP9	Z6YWP9_14	yes	Berkeley Bowl kalamata olives pitted	olive	olives
FF0178	Z6YWP9	Z6YWP9_15	yes	Golden State Pickle Works cabbage w/ caraway	cabbage	sauerkraut
FF0179	Z6YWP9	Z6YWP9_16	yes	Dragonfly preserved bean curd in chili oil	soybean	fermented tofu
FF0180	Z6YWP9	Z6YWP9_17	yes	NY natto black	soybean	natto
FF0181	Z6YWP9	Z6YWP9_18	yes	Lightlife organic tempeh original	soybean	tempeh
FF0183	Z6YWP9	Z6YWP9_19	yes	Fra'mani salametto salame	pork	salami
FF0184	Z6YWP9	Z6YWP9_20	yes	Journeyman meat co saucisson sec salame	pork	salami
PDTC	Z6YWP9	Z6YWP9_21	yes	NFKB inhibitor PDTC	NA	NA
LPS+	Z6YWP9	Z6YWP9_22	yes	LPS only	NA	NA
LPS-	Z6YWP9	Z6YWP9_23	no	no treatment	NA	NA
FF0036	Z6YWP9	Z6YWP9_24	yes	Traditional Red Miso	soybean	Miso
FF0086	Z6YWP9	Z6YWP9_25	yes	Fermented seaweed salad	kelp	pickled vegetable
FF0140	Z6YWP9	Z6YWP9_26	yes	Cultured Beets with fennel	beet	pickled vegetable
