,,,,,,,,,,,,,,,,Globally Unique Sample ID,DUTTON_01-0001,DUTTON_01-0002,DUTTON_01-0003,DUTTON_01-0004,DUTTON_01-0005,DUTTON_01-0006,DUTTON_01-0007,DUTTON_01-0008,DUTTON_01-0009,DUTTON_01-0010,DUTTON_01-0011,DUTTON_01-0012,DUTTON_01-0013,DUTTON_01-0014,DUTTON_01-0015,DUTTON_01-0016,DUTTON_01-0017,DUTTON_01-0018,DUTTON_01-0019,DUTTON_01-0020,DUTTON_01-0021,DUTTON_01-0022,DUTTON_01-0023,DUTTON_01-0024,DUTTON_01-0025,DUTTON_01-0026,DUTTON_01-0027,DUTTON_01-0028,DUTTON_01-0029,DUTTON_01-0030,DUTTON_01-0031,DUTTON_01-0032,DUTTON_01-0033,DUTTON_01-0034,DUTTON_01-0035,DUTTON_01-0036,DUTTON_01-0037,DUTTON_01-0038,DUTTON_01-0039,DUTTON_01-0040,DUTTON_01-0041,DUTTON_01-0042,DUTTON_01-0043,DUTTON_01-0044,DUTTON_01-0045,DUTTON_01-0046,DUTTON_01-0047,DUTTON_01-0048,DUTTON_01-0049,DUTTON_01-0050,DUTTON_01-0051,DUTTON_01-0052,DUTTON_01-0053,DUTTON_01-0054,DUTTON_01-0055,DUTTON_01-0056,DUTTON_01-0057,DUTTON_01-0058,DUTTON_01-0059,DUTTON_01-0060,DUTTON_01-0061,DUTTON_01-0062,DUTTON_01-0063,DUTTON_01-0064,DUTTON_01-0065,DUTTON_01-0066,DUTTON_01-0067,DUTTON_01-0068,DUTTON_01-0069,DUTTON_01-0070,DUTTON_01-0071,DUTTON_01-0072,DUTTON_01-0073,DUTTON_01-0074,DUTTON_01-0075,DUTTON_01-0076,DUTTON_01-0077,DUTTON_01-0078,DUTTON_01-0079,DUTTON_01-0080,DUTTON_01-0081,DUTTON_01-0082,DUTTON_01-0083,DUTTON_01-0084,DUTTON_01-0085,DUTTON_01-0086,DUTTON_01-0087,DUTTON_01-0088,DUTTON_01-0089,DUTTON_01-0090,DUTTON_01-0091,DUTTON_01-0092,DUTTON_01-0093,DUTTON_01-0094,DUTTON_01-0095,DUTTON_01-0096,DUTTON_01-0097,DUTTON_01-0098,DUTTON_01-0099,DUTTON_01-0100,QC IRTS_1,QC IRTS_2,QC IRTS_3,QC IRTS_4
,,,,,,,,,,,,,,,,Study Sample Identifier,FF0036,FF0091,FF0092,FF0121,FF0122,FF0123,FF0124,FF0125,FF0126,FF0127,FF0128,FF0129,FF0130,FF0131,FF0133,FF0134,FF0136,FF0137,FF0138,FF0139,FF0140,FF0141,FF0142,FF0143,FF0144,FF0145,FF0146,FF0147,FF0148,FF0149,FF0150,FF0151,FF0152,FF0153,FF0154,FF0155,FF0156,FF0157,FF0158,FF0159,FF0160,FF0161,FF0162,FF0163,FF0164,FF0165,FF0176,FF0177,FF0178,FF0179,FF0181,FF0183,FF0184,FF0187,FF0188,FF0190,FF0191,FF0199,FF0201,FF0202,FF0203,FF0204,FF0205,FF0206,FF0209,FF0211,FF0212,FF0213,FF0216,FF0220,FF0221,FF0222,FF0223,FF0225,FF0227,FF0218,FF0219,FF0224,FF0228,FF0229,FF0230,FF0231,FF0232,FF0233,FF0234,FF0236,FF0237,FF0238,FF0239,FF0242,FF0243,FF0244,FF0245,FF0246,FF0247,FF0249,FF0251,FF0255,FF0256,FF0257,,,,
,,,,,,,,,,,,,,,,Sample Name,Traditional Red Miso,MeeChun Salted black bean,New York Natto Organic,"Straus organic kefir, plain",alexandre farms prebiotic kefir,kefirlab probiotic kefir,white mountain bulgarian yogurt,straus organic yogurt,nancy's probiotic whole milk yogurt,bellwether farms a2 organic whole milk yogurt,alexandre family famr a2/a2 organic plain yogurt,la fermiere creamy whole milk yogurt,good culture cottage cheese,vermont creamery creme fraiche,le chatelain camembert,jasper hill farm willoughby,rivoir-jacques vache comte,le gryuere switzerland,beemster aged gouda,taleggio,Cultured Beets with fennel,local culture beet + fennel,Sinto Gourmet kraut-chi crunchy beet,wild west ferments moroccan beets,wildbrine red beet & cabbage,wild west ferments simply sauerkraut,wild west ferments signature sauerkraut,"wild west ferments limited edition saerkraut, green garlic",wild west erments el curtido,wildbrine raw organic kraut,sonoma brinery raw sauerkraut,farmhouse culture kraut,cultured raw vintage kraut,britt's pickles,"sonoma brinery fresh pickles, manhatton style",bubbie's baby kosher dill pickles,cultured classic dills,sinto gourmet kimchi (mild white),jongga mat kimchi,"mother in law's kimchi, vegan","mother in laow's kimchi, house",queens beachu kimchi,cultured napa cabbage kimchi,cultured sweet white miso,aedan japanese fermented country miso,yabajurushi tsubu jikomi miso,Mani pitted castelvetrano olives,Berkeley Bowl kalamata olives pitted,Golden State Pickle Works cabbage w/ caraway,Dragonfly preserved bean curd in chili oil,Lightlife organic tempeh original,Fra'mani salametto salame,Journeyman meat co saucisson sec salame,Equal Exchange 92% cacao total eclipse chocolate,Taza 95% dark chocolate wicked dark chocolate,Alter Eco total blackout 100% cacao chocolate,The Tao of Tea organic Topaz puer,Cafe Colucci injera cooked,Cultured Pickle Indian pickled limes,Cultured Pickle Chile paste,Cultured Pickle umeboshi,Wild West Ferments spicy Italian pickle,Wild West Ferments preserved lemon,Wild West Ferments Chili paste,Taro brand sour poi,Kopabana cassava fufu,Kopabana cassava couscous / attieke,Wala ga kenkey,Barrio fiesta bagoong hipon,Elizabeth Sourdough,Shastha Foods Idli/Idli batter,Grandios Yellow pap/ogi,Chantle Sourdough,Rachel Sourdough,Mango pickle,Burlap & Barrel white peppercorns,Burlap & Barrel Iru,CJ Doenjang,Bayley Hazen Blue cheese,Cabot Clothbound cheese,Alpha Tolman cheese,Moses Sleeper cheese,Harbison Cheese,Winnimere cheese,Gochujang,morel mushroom miso,cultured sea kraut,amazake,jalapeno kasuzuke (18mo),carrot nukazuke,Filmjolk yogurt,Matsoni yogurt,Piima yogurt,Viili yogurt,kefir,dosa,millet dosa,bonito flakes (katuobushi),fermented black beans (douchi),black garlic,,,,
,,,,,,,,,,,,,,,,Globally Unique Sample ID,DUTTON_01-0001,DUTTON_01-0002,DUTTON_01-0003,DUTTON_01-0004,DUTTON_01-0005,DUTTON_01-0006,DUTTON_01-0007,DUTTON_01-0008,DUTTON_01-0009,DUTTON_01-0010,DUTTON_01-0011,DUTTON_01-0012,DUTTON_01-0013,DUTTON_01-0014,DUTTON_01-0015,DUTTON_01-0016,DUTTON_01-0017,DUTTON_01-0018,DUTTON_01-0019,DUTTON_01-0020,DUTTON_01-0021,DUTTON_01-0022,DUTTON_01-0023,DUTTON_01-0024,DUTTON_01-0025,DUTTON_01-0026,DUTTON_01-0027,DUTTON_01-0028,DUTTON_01-0029,DUTTON_01-0030,DUTTON_01-0031,DUTTON_01-0032,DUTTON_01-0033,DUTTON_01-0034,DUTTON_01-0035,DUTTON_01-0036,DUTTON_01-0037,DUTTON_01-0038,DUTTON_01-0039,DUTTON_01-0040,DUTTON_01-0041,DUTTON_01-0042,DUTTON_01-0043,DUTTON_01-0044,DUTTON_01-0045,DUTTON_01-0046,DUTTON_01-0047,DUTTON_01-0048,DUTTON_01-0049,DUTTON_01-0050,DUTTON_01-0051,DUTTON_01-0052,DUTTON_01-0053,DUTTON_01-0054,DUTTON_01-0055,DUTTON_01-0056,DUTTON_01-0057,DUTTON_01-0058,DUTTON_01-0059,DUTTON_01-0060,DUTTON_01-0061,DUTTON_01-0062,DUTTON_01-0063,DUTTON_01-0064,DUTTON_01-0065,DUTTON_01-0066,DUTTON_01-0067,DUTTON_01-0068,DUTTON_01-0069,DUTTON_01-0070,DUTTON_01-0071,DUTTON_01-0072,DUTTON_01-0073,DUTTON_01-0074,DUTTON_01-0075,DUTTON_01-0076,DUTTON_01-0077,DUTTON_01-0078,DUTTON_01-0079,DUTTON_01-0080,DUTTON_01-0081,DUTTON_01-0082,DUTTON_01-0083,DUTTON_01-0084,DUTTON_01-0085,DUTTON_01-0086,DUTTON_01-0087,DUTTON_01-0088,DUTTON_01-0089,DUTTON_01-0090,DUTTON_01-0091,DUTTON_01-0092,DUTTON_01-0093,DUTTON_01-0094,DUTTON_01-0095,DUTTON_01-0096,DUTTON_01-0097,DUTTON_01-0098,DUTTON_01-0099,DUTTON_01-0100,QC IRTS_1,QC IRTS_2,QC IRTS_3,QC IRTS_4
,,,,,,,,,,,,,,,,Substrate Category,Soy,Soy,Soy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Vegetable,Vegetable,Vegetable - Cabbage,Vegetable,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable,Vegetable,Vegetable,Vegetable,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Vegetable - Cabbage,Soy,Soy,Soy,Fruit,Fruit,Vegetable - Cabbage,Soy,Soy,Meat,Meat,Fruit,Fruit,Fruit,Vegetable,Grain,Fruit,Fruit,Fruit,Vegetable,Fruit,Fruit,Vegetable,Grain,Grain,Grain,Meat - Fish,Grain,Grain,Grain,Grain,Grain,Fruit,Fruit,Legume,Soy,Dairy,Dairy,Dairy,Dairy,Dairy,Dairy,Fruit,Soy,Vegetable,Grain,Fruit/Grain,Vegetable/Grain,Dairy,Dairy,Dairy,Dairy,Dairy,Grain/Legume,Grain/Legume,Meat - Fish,Soy,Vegetable,,,,
,,,,,,,,,,,,,,,,Sample Type,Miso,Black Bean,Natto,Kefir,Kefir,Kefir,Yogurt,Yogurt,Yogurt,Yogurt,Yogurt,Yogurt,Cottage Cheese,Creme Fraiche,Cheese,Cheese,Cheese,Cheese,Cheese,Cheese,Pickled Vegetable,Pickled Vegetable,Sauerkraut,Pickled Vegetable,Sauerkraut,Sauerkraut,Sauerkraut,Sauerkraut,Sauerkraut,Sauerkraut,Sauerkraut,Sauerkraut,Sauerkraut,Dill Pickle,Dill Pickle,Dill Pickle,Dill Pickle,Kimchi,Kimchi,Kimchi,Kimchi,Kimchi,Kimchi,Miso,Miso,Miso,Olives,Olives,Sauerkraut,Fermented Tofu,Tempeh,Salami,Salami,Chocolate,Chocolate,Chocolate,Tea,Injera,Pickled Fruit,Chili Paste,Pickled Fruit,Dill Pickle,Pickled Fruit,Chili Paste,Poi,Cassava,Cassava,Corn,Fermented Shrimp,Bread,Idli,Corn,Bread,Bread,Pickled Fruit,Spice,Spices,Condiment,Kefir,Cheese,Cheese,Cheese,Cheese,Cheese,Chili Paste,Miso,Sauerkraut,Beveragte,Pickle,Pickle,Yogurt,Yogurt,Yogurt,Yogurt,Yogurt,Dosa,Dosa,Fish,Soybean,Condiment,,,,
index,Platform,Formula,Adduct,Polarity,Avg m/z,Library RI,PTF_ID,Annotation,Inchikey,CF Kingdom,CF Superclass,CF Class,CF Subclass,blank_ratio,ms_confidence,% Fill,B00004-07,B00004-08,B00004-09,B00001-03,B00001-04,B00001-05,B00001-06,B00001-07,B00001-08,B00001-09,B00001-10,B00001-11,B00001-12,B00001-13,B00001-14,B00001-15,B00001-16,B00001-17,B00001-18,B00001-19,B00003-03,B00003-04,B00003-15,B00003-05,B00003-16,B00003-17,B00003-18,B00003-19,B00003-20,B00003-21,B00003-22,B00003-23,B00003-24,B00003-06,B00003-07,B00003-08,B00003-09,B00003-25,B00003-26,B00003-27,B00003-28,B00003-29,B00003-30,B00004-10,B00004-11,B00004-12,B00002-03,B00002-04,B00003-31,B00004-13,B00004-14,B00004-03,B00004-04,B00002-05,B00002-06,B00002-07,B00003-10,B00002-17,B00002-08,B00002-09,B00002-10,B00003-11,B00002-11,B00002-12,B00003-12,B00002-18,B00002-19,B00002-20,B00004-05,B00002-21,B00002-22,B00002-23,B00002-24,B00002-25,B00002-13,B00002-14,B00002-29,B00004-15,B00001-20,B00001-21,B00001-22,B00001-23,B00001-24,B00001-25,B00002-15,B00004-16,B00003-13,B00002-26,B00002-16,B00003-32,B00001-26,B00001-27,B00001-28,B00001-29,B00001-30,B00002-27,B00002-28,B00004-06,B00004-17,B00003-14,B00001-02,B00002-02,B00003-02,B00004-02
705,METx RP 2.1,C53H84O20,[M-H]-,negative,1039.5483,429,PTF55599,NP-015814,AACVPYUISGWNOU-UHFFFAOYSA-N,,,,,1404,1,0.035,,503505.9438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289866.8539,,,,612113.5858,560600.2583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,METx RP 2.1,C25H32O10,[M+NH4]+,positive,510.2334,266,PTF55601,NP-023334,ABBBCMOBLBDQFK-WFFOWJHPSA-N,,,,,41,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8077.340617,20945.78265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7289,METxH1.0,C8H10O2,[M+H-H2O]+,positive,121.06519,0.29,,2-Hydroxyphenethyl alcohol,ABFCOJLLBHXNOU-UHFFFAOYSA-N,,,,,1,2,1,248676,524064,225780,216876,189528,208608,220056,211788,216240,234048,230232,200976,251856,186348,174900,165996,441384,272844,185076,209244,291288,178716,260124,207336,181896,288744,215604,239772,222600,279204,176808,182532,190164,282384,223236,256944,284292,228324,196524,153276,199068,250584,247404,276024,211788,192708,271572,218148,200340,216876,217512,281748,227052,239772,365064,229596,53424,186348,226416,198432,213060,212424,147552,186984,281748,153276,172356,207336,791184,160908,184440,190800,258216,239136,205428,119568,202884,205428,2049192,216240,2517288,218784,153912,230232,225780,267120,230232,179352,263304,152004,221328,238500,290016,290016,186984,202248,195888,266484,181896,227052,231504,241044,224508,229596
7342,METxH1.0,C18H28O3,[M-H]-,negative,291.19699,0.25,,"9-oxo-10e,12z,15z-octadecatrienoic acid",ACHDMUPTZYZIGR-UHFFFAOYSA-N,,,,,9,2,0.46,32436,80772,,,,,,,,,,,64236,,60420,129108,,,,62328,,,227688,54060,,45156,,,,,,41976,58512,47064,140556,92856,238500,1014420,659532,49608,,325632,,40068,,,,33708,96672,29256,539964,36252,216876,,64236,,1298712,68688,,46428,45792,124656,,,,,,,,40704,37524,43248,68052,,33072,,39432,,,,,59784,36252,,32436,57240,,,,54696,,,,,,37524,73776,,178080,,,,,
