Date,BioRep,Plate,Row,Column,Dilution_factor,Sample_number,Substrate,Pre-treatment,Insult,Sample_type,raw_SEAP,raw_ IFN,raw_viability,normalized_SEAP,normalized_IFN,normalized_viability
20251114,1,BP010,A,1,10,FF0120,Milk,Straus organic whole milk,LPS+,sample,1.115,28048,1.768,136.589,92.937,102.639
20251114,1,BP010,A,2,10,FF0121,Milk,"Straus organic kefir, plain",LPS+,sample,1.075,30561,1.683,131.450,101.532,96.075
20251114,1,BP010,A,3,10,FF0122,Milk,alexandre farms prebiotic kefir,LPS+,sample,1.041,30591,1.737,127.186,101.635,100.221
20251114,1,BP010,A,4,10,FF0123,Milk,kefirlab probiotic kefir,LPS+,sample,1.023,32243,1.857,124.910,107.286,109.567
20251114,1,BP010,A,5,10,FF0140,Beet,Cultured Beets with fennel,LPS+,sample,1.054,13083,2.222,128.782,41.749,137.800
20251114,1,BP010,A,6,10,FF0141,Beet,local culture beet + fennel,LPS+,sample,1.094,7591,2.368,133.964,22.964,149.161
20251114,1,BP010,A,7,10,FF0142,Beet,Sinto Gourmet kraut-chi crunchy beet,LPS+,sample,1.036,7141,2.499,126.484,21.424,159.329
20251114,1,BP010,A,8,10,FF0143,Beet,wild west ferments moroccan beets,LPS+,sample,1.032,12403,2.027,126.017,39.423,122.734
20251114,1,BP010,A,9,10,FF0144,Beet,wildbrine red beet & cabbage,LPS+,sample,1.111,8501,2.640,136.030,26.076,170.248
20251114,1,BP010,A,10,10,FF0145,Cabbage,wild west ferments simply sauerkraut,LPS+,sample,1.125,4060,2.394,137.861,10.886,151.137
20251114,1,BP010,A,11,10,inhibitor1,Control,60uM PDTC,LPS+,inhibitor,0.417,35579,1.644,47.736,118.696,93.052
20251114,1,BP010,A,12,10,inhibitor1,Control,60uM PDTC,LPS+,inhibitor,0.472,40337,1.460,54.772,134.971,78.754
20251114,1,BP010,B,1,10,FF0120,Milk,Straus organic whole milk,LPS+,sample,1.071,28919,1.863,130.958,95.916,109.970
20251114,1,BP010,B,2,10,FF0121,Milk,"Straus organic kefir, plain",LPS+,sample,0.946,30050,1.662,115.066,99.785,94.447
20251114,1,BP010,B,3,10,FF0122,Milk,alexandre farms prebiotic kefir,LPS+,sample,0.848,29329,1.783,102.653,97.318,103.794
20251114,1,BP010,B,4,10,FF0123,Milk,kefirlab probiotic kefir,LPS+,sample,0.861,23352,1.683,104.244,76.874,96.051
20251114,1,BP010,B,5,10,FF0140,Beet,Cultured Beets with fennel,LPS+,sample,0.976,10212,2.096,118.867,31.929,128.043
20251114,1,BP010,B,6,10,FF0141,Beet,local culture beet + fennel,LPS+,sample,0.980,5770,2.265,119.390,16.735,141.132
20251114,1,BP010,B,7,10,FF0142,Beet,Sinto Gourmet kraut-chi crunchy beet,LPS+,sample,0.940,6971,2.388,114.342,20.843,150.719
20251114,1,BP010,B,8,10,FF0143,Beet,wild west ferments moroccan beets,LPS+,sample,0.919,6460,2.007,111.638,19.095,121.145
20251114,1,BP010,B,9,10,FF0144,Beet,wildbrine red beet & cabbage,LPS+,sample,1.023,6691,2.323,124.889,19.885,145.689
20251114,1,BP010,B,10,10,FF0145,Cabbage,wild west ferments simply sauerkraut,LPS+,sample,1.001,6210,2.133,122.045,18.240,130.933
20251114,1,BP010,B,11,10,inhibitor1,Control,60uM PDTC,LPS+,inhibitor,0.384,34557,1.920,43.534,115.201,114.403
20251114,1,BP010,B,12,10,inhibitor1,Control,60uM PDTC,LPS+,inhibitor,0.422,37241,1.734,48.369,124.381,99.973
20251114,1,BP010,C,1,10,FF0146,Cabbage,wild west ferments signature sauerkraut,LPS+,sample,1.179,7611,2.093,144.704,23.032,127.795
20251114,1,BP010,C,2,10,FF0147,Cabbage,"wild west ferments limited edition saerkraut, green garlic",LPS+,sample,1.096,7681,2.253,134.154,23.271,140.226
20251114,1,BP010,C,3,10,FF0148,Cabbage. Carrot,wild west erments el curtido,LPS+,sample,1.137,12773,2.013,139.398,40.689,121.603
20251114,1,BP010,C,4,10,FF0149,Cabbage,wildbrine raw organic kraut,LPS+,sample,1.175,11533,2.198,144.245,36.447,135.932
20251114,1,BP010,C,5,10,FF0150,Cabbage,sonoma brinery raw sauerkraut,LPS+,sample,1.263,5240,2.149,155.419,14.922,132.181
20251114,1,BP010,C,6,10,FF0151,Cabbage,farmhouse culture kraut,LPS+,sample,1.037,8011,1.976,126.648,24.400,118.727
20251114,1,BP010,C,7,10,FF0152,Cabbage,cultured raw vintage kraut,LPS+,sample,1.031,6801,1.830,125.851,20.261,107.428
20251114,1,BP010,C,8,10,FF0153,Cucumber,britt's pickles,LPS+,sample,0.996,17376,1.837,121.393,56.433,107.971
20251114,1,BP010,C,9,10,FF0154,Cucumber,"sonoma brinery fresh pickles, manahhaton style",LPS+,sample,0.998,12903,1.970,121.662,41.133,118.278
20251114,1,BP010,C,10,10,FF0155,Cucumber,bubbie's baby kosher dill pickles,LPS+,sample,0.959,15995,1.858,116.710,51.709,109.598
20251114,1,BP010,C,11,10,positive_control,Control,PBS,LPS+,positive control,0.804,29359,1.608,96.975,97.421,90.270
20251114,1,BP010,C,12,10,positive_control,Control,PBS,LPS+,positive control,0.882,35859,1.760,106.964,119.654,102.050
20251114,1,BP010,D,1,10,FF0146,Cabbage,wild west ferments signature sauerkraut,LPS+,sample,1.188,11963,2.098,145.912,37.918,128.237
20251114,1,BP010,D,2,10,FF0147,Cabbage,"wild west ferments limited edition saerkraut, green garlic",LPS+,sample,1.163,10532,2.032,142.731,33.023,123.067
20251114,1,BP010,D,3,10,FF0148,Cabbage. Carrot,wild west erments el curtido,LPS+,sample,1.160,12403,1.949,142.319,39.423,116.674
20251114,1,BP010,D,4,10,FF0149,Cabbage,wildbrine raw organic kraut,LPS+,sample,1.272,10182,2.345,156.601,31.826,147.386
