Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name	sample_name
7857_230_S249_trimmed_1.fastq.gz	FontanaF_2023__SRR20746979__bin.3.fa	68.4845	58.0974	99.68	347.0	NA-NA	HIGH	NA-NA	347	332.552	6478/7154	99.68	0	NODE_10_length_61143_cov_28.9945_ID_1888	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_337__bin.6.fa	14.4074	21.2987	99.82	73.0	NA-NA	HIGH	NA-NA	73	74.196	11901/12575	99.82	0	NODE_1_length_525164_cov_377.9581_ID_7678	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	Wy2_bin.circ.1.fa	6.7103	6.1665	99.26	34.0	NA-NA	HIGH	NA-NA	34	36.134	5930/7470	99.26	54	s8.ctg000010c	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	LandisEA_2021__SRS5653155__bin.1.fa	5.1314	6.373	99.98	26.0	NA-NA	HIGH	NA-NA	26	24.606	10583/10655	99.98	0	SRS5653155_k141_354	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	FontanaF_2023__SRR20746951__bin.4.fa	3.3551	4.7141	99.21	17.0	NA-NA	HIGH	NA-NA	17	16.097	9440/12064	99.21	104	NODE_1_length_333540_cov_36.9994_ID_1661	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	WalshAM_2020__ERS3466771__bin.3.fa	0.4471	0.9255	99.84	2.265	99.80-99.97	2.265	1.97-2.33	2	2.457	15373/18046	99.48	1	ERS3466771_k141_114	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MAG_515.fa	0.2641	0.2974	96.31	1.338	96.15-96.44	1.338	1.24-1.46	2	1.918	2376/9692	95.57	548	MAG_515_0	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	0.1764	0.2741	98.9	0.894	98.80-99.01	0.894	0.84-0.94	1	1.509	5718/13589	97.25	11	NODE_1_length_274429_cov_22.9992_ID_7781	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-09-M7__bin.53.fa	0.1711	0.3241	99.63	0.867	99.54-99.75	0.867	0.82-0.90	1	1.498	8428/16310	97.89	0	VB-09-M7_k141_296	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	We6_bin.circ.9.fa	0.1562	0.3413	99.25	0.791	99.14-99.38	0.791	0.75-0.82	1	1.483	7905/18267	97.33	153	s34.ctg000041c	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__KM-1D__bin.27.fa	0.1519	0.3588	99.73	0.77	99.65-99.83	0.770	0.74-0.79	1	1.439	10039/20329	97.75	5	KM-1D_k141_923	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	LeechJ_xxxx__AF78__bin.4.fa	0.0724	0.0664	98.15	0.367	97.77-98.45	0.367	0.33-0.42	1	1.218	1362/7826	94.52	6	AF78_k141_1694	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-16-M16__bin.5.fa	0.0617	0.0981	99.36	0.313	99.17-99.63	0.313	0.29-0.33	1	1.169	2985/13556	95.24	13	VB-16-M16_k141_134	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__KM-2G__bin.45.fa	0.0503	0.0874	99.71	0.255	99.41-99.98	0.255	0.23-0.28	1	1.144	3055/14834	95.03	1	KM-2G_k141_1010	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_408__bin.5.fa	0.0397	0.0515	98.86	0.201	98.43-99.26	0.201	0.18-0.23	1	1.101	1441/11274	93.58	1	NODE_6_length_149100_cov_225.9819_ID_15424	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MAG_619.fa	0.0365	0.0719	96.17	0.185	95.55-96.81	0.185	0.15-0.22	1	1.168	862/17091	90.81	597	MAG_619_0	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-12D__bin.11.fa	0.0344	0.0428	98.59	0.174	97.92-99.10	0.174	0.15-0.21	1	1.086	1115/10818	92.93	12	VB-12D_k141_1575	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	YasirM_2022__SRR18335011__bin.1.fa	0.0311	0.0529	97.86	0.157	97.33-98.35	0.157	0.13-0.19	1	1.102	1089/14536	91.98	213	NODE_1_length_110556_cov_44.9620_ID_22529	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811285__bin.2.fa	0.0283	0.0394	99.92	0.143	99.44-100.35	0.143	0.12-0.16	1	1.07	1575/12113	93.63	0	NODE_1_length_1022137_cov_101.0084_ID_918	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-03-M5__bin.22.fa	0.0242	0.0358	95.17	0.122	93.85-96.40	0.122	0.08-0.19	1	1.079	315/12679	88.76	351	VB-03-M5_k141_132	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	WalshAM_2020__ERS3466771__bin.2.fa	0.0212	0.0661	99.88	0.107	99.44-100.37	0.107	0.09-0.12	1	1.065	2644/26897	92.79	0	ERS3466771_k141_29	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	WolfeBE_2014__491_Bayley__bin.8.fa	0.0192	0.0374	96.78	0.097	95.86-97.87	0.097	0.07-0.13	1	1.323	564/16793	89.63	15	491_Bayley_k119_105	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	GCF_006740305.1_ASM674030v1_genomic.fa	0.0185	0.0176	97.93	0.094	96.52-99.30	0.094	0.06-0.14	1	1.018	387/7797	90.77	16	GCF_006740305.1_ASM674030v1_genomic_NZ_AP019750.1 Lactobacillus delbrueckii subsp. delbrueckii strain NBRC 3202 chromosome, complete genome	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-14D__bin.48.fa	0.0173	0.0286	98.48	0.088	97.41-99.45	0.088	0.06-0.12	1	1.054	740/14141	90.92	19	VB-14D_k141_403	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-09-BD__bin.29.fa	0.0164	0.0297	99.28	0.083	98.25-100.32	0.083	0.06-0.11	1	1.04	1004/15751	91.5	1	VB-09-BD_k141_1260	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_TEAGASC_1__TGS04-30__bin.1.fa	0.0162	0.0257	98.77	0.082	97.79-99.88	0.082	0.06-0.11	1	1.042	736/13713	91.0	9	TGS04-30_k141_93	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_227__bin.5.fa	0.0152	0.02	99.83	0.077	98.75-100.82	0.077	0.05-0.11	1	1.042	785/11189	91.79	0	NODE_13_length_120594_cov_11.9989_ID_9743	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-16-M13__bin.18.fa	0.0132	0.0187	97.86	0.067	96.41-99.42	0.067	0.04-0.11	1	1.04	404/12242	89.58	58	VB-16-M13_k141_479	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MASTER_WP4_FFoQSI_1__VB-05-BG__bin.13.fa	0.0104	0.0124	97.87	0.053	95.76-100.08	0.053	0.02-0.10	1	1.026	272/10318	88.93	32	VB-05-BG_k141_593	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897.fa	0.0102	0.0121	97.01	0.052	94.66-98.72	0.052	0.03-0.10	1	0.917	229/10183	88.48	22	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897_NZ_LISZ01000065.1 Lactococcus lactis subsp. cremoris strain LMG6897 contig_0, whole genome shotgun sequence	7857_230_S249
7857_230_S249_trimmed_1.fastq.gz	MAG_323.fa	0.0082	0.0146	97.13	0.041	94.65-98.86	0.041	0.02-0.09	1	1.059	256/15428	87.61	4	MAG_323_0	7857_230_S249
7857_183_S228_trimmed_1.fastq.gz	ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072.fa	43.3235	33.8941	98.1	48.0	NA-NA	HIGH	NA-NA	48	49.302	4702/8532	98.1	9	ODFM-BA-A-0027-003_Lactobacillus_sakei_WiKim0072_NZ_CP025136.1 Lactobacillus sakei strain WiKim0072 chromosome, complete genome	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811285__bin.2.fa	38.8107	41.6695	99.59	43.0	NA-NA	HIGH	NA-NA	43	43.442	10658/12113	99.59	73	NODE_1_length_1022137_cov_101.0084_ID_918	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	CM_UNINA_FFOOD__FFOOD_425__bin.9.fa	7.5721	5.4217	100.0	8.389	NA-NA	HIGH	NA-NA	8	8.389	8052/8063	100.0	0	NODE_1_length_598382_cov_75.9985_ID_32759	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859379__bin.8.fa	5.513	3.3731	99.05	6.108	NA-NA	HIGH	NA-NA	6	6.108	5080/6826	99.05	38	NODE_3_length_161229_cov_37.0000_ID_62026	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	178.fa	1.5879	1.5584	99.97	1.759	99.91-100.02	1.759	1.69-1.84	2	2.102	9085/11078	99.36	0	NODE_1_length_739497_cov_43.169039	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__SP009_71775__bin.32.fa	0.8821	9.7996	99.95	0.977	99.93-99.98	0.977	0.96-0.99	1	1.583	76657/124692	98.44	1	SP009_71775_k141_381	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__CS001_71775__bin.6.fa	0.7426	1.1982	99.31	0.823	99.21-99.44	0.823	0.78-0.86	1	1.571	8177/18101	97.47	0	CS001_71775_k141_213	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	GCF_000298875.1_ASM29887v1_genomic.fa	0.6841	0.4986	99.46	0.758	99.26-99.63	0.758	0.70-0.82	1	1.417	3663/8160	97.45	0	GCF_000298875.1_ASM29887v1_genomic_NC_018631.1 Leuconostoc gelidum JB7, complete sequence	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	GCF_900618535.1_TH39_genomic.fa	0.2013	0.3897	96.11	0.223	95.65-96.63	0.223	0.19-0.26	1	1.261	1274/21532	91.28	387	GCF_900618535.1_TH39_genomic_NZ_UYJA01000001.1 Pseudomonas bubulae strain Pseudomonas parafragi, whole genome shotgun sequence	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	AlvarezOrdonezA_xxxx__Q04-26__bin.13.fa	0.1585	0.2497	98.24	0.176	97.76-98.56	0.176	0.15-0.20	1	1.165	1652/17757	92.63	105	Q04-26_k141_523	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	GCF_001703515.1_ASM170351v1_genomic.fa	0.1539	0.1528	99.22	0.171	98.64-99.70	0.171	0.14-0.21	1	1.086	1316/10702	93.46	1	GCF_001703515.1_ASM170351v1_genomic_NZ_CP016839.1 Brochothrix thermosphacta strain TMW 2.1564 chromosome, complete genome	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	MASTER_WP4_UNINA_2__O-30__bin.13.fa	0.1132	1.4433	96.68	0.125	96.38-96.94	0.125	0.11-0.14	1	1.244	5932/142973	90.24	3301	O-30_k141_182	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602153__bin.4.fa	0.1019	0.1574	98.68	0.113	97.94-99.25	0.113	0.10-0.14	1	1.063	1241/17572	91.81	1	NODE_1_length_695767_cov_46.0000_ID_85857	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	MASTER_WP4_CSIC_1__P2146_73322__bin.6.fa	0.0979	0.1354	98.03	0.109	97.09-98.71	0.109	0.09-0.15	1	1.053	857/15450	91.09	5	P2146_73322_k141_247	7857_183_S228
7857_183_S228_trimmed_1.fastq.gz	MASTER_WP4_UNINA_1__GO003_71775__bin.2.fa	0.0573	0.0587	99.01	0.063	97.52-100.14	0.063	0.04-0.10	1	1.031	520/11511	90.49	3	GO003_71775_k141_3311	7857_183_S228
7857_231_S250_trimmed_1.fastq.gz	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897.fa	37.0522	31.1155	99.76	107.0	NA-NA	HIGH	NA-NA	107	99.652	9460/10183	99.76	3	ODFM-BA-A-0148-001_Lactococcus_lactis_subsp._cremoris_LMG6897_NZ_LISZ01000065.1 Lactococcus lactis subsp. cremoris strain LMG6897 contig_0, whole genome shotgun sequence	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	FontanaF_2023__SRR20746951__bin.4.fa	21.4695	21.43	98.87	62.0	NA-NA	HIGH	NA-NA	62	63.578	8490/12064	98.87	6	NODE_1_length_333540_cov_36.9994_ID_1661	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	MAG_501.fa	14.5439	11.8073	99.45	42.0	NA-NA	HIGH	NA-NA	42	46.554	8184/9710	99.45	661	MAG_501_0	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811283__bin.7.fa	13.1587	21.8332	99.82	38.0	NA-NA	HIGH	NA-NA	38	37.932	19126/20203	99.82	0	NODE_1_length_536316_cov_18.9998_ID_14722	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	Wy2_bin.circ.1.fa	8.6571	5.6517	99.56	25.0	NA-NA	HIGH	NA-NA	25	24.432	6510/7470	99.56	27	s8.ctg000010c	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	MortensenS_xxxx__WK002-1-L-48h-01F6_S30__bin.6.fa	2.6061	1.6386	98.73	7.526	NA-NA	HIGH	NA-NA	7	7.526	5240/7783	98.73	2	WK002-1-L-48h-01F6_S30_k141_2565	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	178.fa	1.415	1.28	99.92	4.086	NA-NA	HIGH	NA-NA	4	4.086	10811/11078	99.92	0	NODE_1_length_739497_cov_43.169039	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	GCF_009913915.1_ASM991391v1_genomic.fa	0.3438	0.2511	98.51	0.993	98.39-98.66	0.993	0.92-1.05	1	1.682	3540/8865	97.08	84	GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	MASTER_WP4_UNINA_2__O-30__bin.13.fa	0.2965	3.4837	99.63	0.856	99.61-99.67	0.856	0.84-0.86	1	1.493	73419/142973	97.87	0	O-30_k141_182	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	MASTER_WP4_CSIC_2__P2545__bin.25.fa	0.21	1.1537	99.35	0.607	99.27-99.42	0.607	0.59-0.62	1	1.353	24662/66192	96.87	40	P2545_k141_46	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	We6_bin.circ.9.fa	0.126	0.1956	98.6	0.364	98.39-98.83	0.364	0.34-0.39	1	1.215	3593/18267	94.89	0	s34.ctg000041c	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811285__bin.2.fa	0.0866	0.0857	99.56	0.25	99.21-99.85	0.250	0.22-0.28	1	1.127	2339/12113	94.83	8	NODE_1_length_1022137_cov_101.0084_ID_918	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	WolfeBE_2014__491_Bayley__bin.8.fa	0.0183	0.0253	97.13	0.053	95.43-99.19	0.053	0.03-0.09	1	1.023	351/16793	88.27	1	491_Bayley_k119_105	7857_231_S250
7857_231_S250_trimmed_1.fastq.gz	MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.1.fa	0.0163	0.0486	96.57	0.047	95.04-97.99	0.047	0.03-0.07	1	1.023	565/36208	87.44	0	WK038-1-L-48h-03E3_S58_k141_11	7857_231_S250
7857_173_S220_trimmed_1.fastq.gz	MAG_500.fa	97.0862	96.9182	99.98	276.0	NA-NA	HIGH	NA-NA	276	276.652	14109/14183	99.98	0	MAG_500_0	7857_173_S220
7857_173_S220_trimmed_1.fastq.gz	GCF_011611525.1_ASM1161152v1_genomic.fa	1.2302	1.3576	98.98	3.497	NA-NA	HIGH	NA-NA	3	3.497	11003/15106	98.98	0	GCF_011611525.1_ASM1161152v1_genomic_NZ_CP050139.1 Komagataeibacter rhaeticus strain ENS 9a1a chromosome, complete genome	7857_173_S220
