Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name	sample_name
7741_001_S26_trimmed_1.fastq.gz	FalardeauJ_2023__SRR20811279__bin.3.fa	44.7017	50.7744	99.72	265	NA-NA	HIGH	NA-NA	265	267.279	12455/13589	99.72	357	NODE_1_length_274429_cov_22.9992_ID_7781	7741_001_S26
7741_001_S26_trimmed_1.fastq.gz	GCF_009913915.1_ASM991391v1_genomic.fa	20.917	15.7184	99.79	124	NA-NA	HIGH	NA-NA	124	120.541	8307/8865	99.79	18	"GCF_009913915.1_ASM991391v1_genomic_NZ_CP028251.1 Leuconostoc mesenteroides strain SRCM102733 chromosome, complete genome"	7741_001_S26
7741_001_S26_trimmed_1.fastq.gz	MotaGutierrezJ_2021__SRR11602150__bin.9.fa	13.3262	11.2567	98.78	79	NA-NA	HIGH	NA-NA	79	82.229	6852/10040	98.78	166	NODE_36_length_112572_cov_15.0000_ID_47355	7741_001_S26
7741_001_S26_trimmed_1.fastq.gz	YasirM_2022__SRR18335011__bin.1.fa	12.1454	15.1165	99.85	72	NA-NA	HIGH	NA-NA	72	82.003	13859/14536	99.85	0	NODE_1_length_110556_cov_44.9620_ID_22529	7741_001_S26
7741_001_S26_trimmed_1.fastq.gz	YulandiA_2020__SRS6115052__bin.21.fa	5.2293	3.5434	95.39	31	NA-NA	HIGH	NA-NA	31	31.806	1844/7955	95.39	112	SRS6115052_k141_129	7741_001_S26
7741_001_S26_trimmed_1.fastq.gz	KharnaiorP_2023__SRR22859379__bin.8.fa	0.8288	0.4809	98.85	4.914	NA-NA	HIGH	NA-NA	4	4.914	4766/6826	98.85	3	NODE_3_length_161229_cov_37.0000_ID_62026	7741_001_S26
7741_001_S26_trimmed_1.fastq.gz	LeechJ_2020__ERS3967691__bin.13.fa	0.7748	0.5513	99.09	4.593	NA-NA	HIGH	NA-NA	4	4.593	6221/8251	99.09	22	ERS3967691_k141_96	7741_001_S26
7741_001_S26_trimmed_1.fastq.gz	GCF_002872255.1_ASM287225v1_genomic.fa	0.5849	0.5513	99.48	3.467	NA-NA	HIGH	NA-NA	3	3.467	9282/10910	99.48	12	"GCF_002872255.1_ASM287225v1_genomic_NZ_NIPR01000001.1 Companilactobacillus nuruki strain SYF10-1a 1, whole genome shotgun sequence"	7741_001_S26
7741_001_S26_trimmed_1.fastq.gz	EBC_080.1.fa	0.3791	0.6581	99.56	2.247	99.53-99.70	2.247	1.93-2.29	2	2.794	15970/20501	99.2	0	EBC_080.1_EBC_080_scaffold_1281	7741_001_S26
7741_001_S26_trimmed_1.fastq.gz	ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101.fa	0.3335	0.3491	98.57	1.977	98.53-98.66	1.977	1.84-2.02	2	2.463	6764/12230	98.11	14	"ODFM-BA-A-0139-001_Enterococcus_lactis_CICC_24101_NZ_WOTS01000010.1 Enterococcus lactis strain CICC 24101 NODE_10_length_82300_cov_4.602353, whole genome shotgun sequence"	7741_001_S26
